,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
254,2005-02-05 02:44:47,1107551687.0,dg,22.5,11.220958971824022,1084.560059,-48.13645433357191,59.35741330539594,0.213,24.06,0.98,4.63,4.21,6.89,11.68,20.38,22.216,7370000000.0,7590000000.0,19.40,1.28,1.02,11.27,1.02,2020000000.0,11.27,313130000.0,0.94,13.60,12.60,45830000.0,0.14,335900000.0,2.029,4.814,368550000.0,1.23,0.45,73.09,5500000.0,3.854,1.69,4880000.0,outperform
255,2012-01-06 22:54:44,1325870684.0,dg,40.87,102.02669303015321,1070.119995,-48.82697664487725,150.85366967503046,60.10,20.33,1.00,3.11,4.94,9.96,9.21,16.65,41.30,16770000000.0,16770000000.0,15.14,1.00,1.19,10.01,1.19,4179999999.9999995,10.01,696720000.0,2.01,33.60,11.50,120340000.0,0.35,2740000000.0,1.52,13.31,1030000000.0,0.02,0.26,88.90,3670000.0,1.20,3.70,4370000.0,outperform
256,2012-09-13 04:01:09,1347489069.0,dg,49.72,145.77360355907066,1233.0,-41.03807228004711,186.81167583911778,60.20,19.04,1.04,3.39,5.70,10.18,10.13,19.41,46.28,19050000000.0,19050000000.0,14.89,0.94,1.22,10.15,1.22,4700000000.0,10.15,891230000.0,2.61,46.60,10.40,136830000.0,0.41,2900000000.0,1.65,14.42,1030000000.0,0.05,0.12,97.40,3960000.0,1.50,2.50,5040000.0,outperform
257,2012-10-15 00:22:11,1350240731.0,dg,49.25,143.45032130499257,1418.550049,-32.16508884324929,175.61541014824186,60.20,18.86,1.06,3.44,5.70,10.18,10.13,19.41,46.28,19190000000.0,19190000000.0,14.75,0.95,1.23,10.22,1.23,4700000000.0,10.22,891230000.0,2.61,46.60,10.40,136830000.0,0.41,2900000000.0,1.65,14.42,1030000000.0,0.05,0.13,95.30,5590000.0,1.20,3.60,4350000.0,outperform
258,2013-05-18 11:06:51,1368855411.0,dg,54.08,167.3257538309441,2098.47998,0.34908751218831324,166.9766663187558,55.70,18.98,1.09,3.49,5.95,10.35,10.33,19.72,48.22,19900000000.0,19900000000.0,14.27,1.03,1.24,10.15,1.24,5090000000.0,10.15,952660000.0,2.85,8.50,0.50,145090000.0,0.44,2780000000.0,1.54,15.24,1130000000.0,0.12,0.15,97.90,5530000.0,1.60,2.00,6310000.0,outperform
259,2013-05-07 08:52:46,1367896966.0,dgx,57.94,10.868733256792957,1096.439941,7.2228992129815985,3.645834043811359,80.64,17.48,1.26,2.18,7.33,17.80,8.61,15.37,45.80,12320000000.0,12320000000.0,12.05,1.27,1.70,7.81,1.70,3020000000.0,7.81,587180000.0,3.31,14.70,6.40,133600000.0,0.85,3410000000.0,1.21,26.60,1070000000.0000001,0.85,0.38,94.30,8650000.0,6.80,5.50,7970000.0,outperform
260,2012-06-10 08:23:21,1339296801.0,dhi,15.97,-59.12464806757103,1507.339966,6.95360965872162,-66.07825772629265,64.99,38.21,1.25,1.83,3.35,4.79,2.14,5.00,12.50,5880000000.0,5880000000.0,17.55,4.70,1.48,28.05,1.48,613500000.0,28.05,132699999.99999999,0.42,46.00,28.00,961300000.0,3.02,1760000000.0,7.30,8.48,46600000.0,1.49,12.55,90.50,39230000.0,4.30,17.20,36620000.0,underperform
261,2013-05-16 16:55:48,1368703548.0,dhi,26.56,-32.01945226516509,1633.77002,15.92447950205933,-47.94393176722443,87.43,9.16,1.70,2.36,20.52,8.31,3.93,33.05,16.21,10890000000.0,10890000000.0,15.72,2.91,2.10,24.17,2.10,861600000.0,24.17,1070000000.0000001,2.92,173.40,48.90,1130000000.0,3.50,3270000000.0,7.39,11.61,1060000000.0,1.77,12.47,89.80,32890000.0,5.30,13.80,30700000.0,underperform
262,2004-08-11 14:49:21,1092215961.0,dis,21.89,-4.201312910284467,1365.540039,-0.4047821177038667,-3.7965307925806004,0.619,20.36,1.58,1.82,7.86,12.27,4.60,9.30,14.415,44920000000.0,58220000000.0,18.87,1.43,1.93,14.49,1.93,27060000000.0,14.49,2240000000.0,1.075,2.50,6.80,3150000000.0,1.53,15320000000.0,0.841,12.298,4480000000.0,1.107,2.06,64.46,45300000.0,6.908,2.25,39300000.0,underperform
263,2005-01-17 01:54:46,1105907086.0,dis,28.3,23.851203501094087,1883.680054,37.385591077981815,-13.534387576887728,0.517,25.25,1.84,2.13,8.27,12.16,4.80,9.44,14.6,57840000000.0,69290000000.0,20.07,1.86,2.25,15.9,2.25,30750000000.0,15.9,2340000000.0,1.121,85.10,13.60,2040000000.0,13490000000.0,13490000000.0,0.847,13.051,4370000000.0,1.146,0.50,66.46,41190000.0,7.137,2.02,42810000.0,underperform
264,2005-02-04 07:35:55,1107482755.0,dis,28.8,26.03938730853391,1267.430054,-7.56040191165691,33.59978922019082,0.521,25.40,1.92,2.21,8.38,12.20,4.78,9.39,14.642,58870000000.0,69090000000.0,19.73,1.67,2.24,12.26,2.24,30750000000.0,12.26,2380000000.0,1.13,85.10,13.60,2170000000.0,1.08,13710000000.0,0.921,13.051,4370000000.0,1.146,0.46,66.14,36560000.0,7.344,1.84,41190000.0,outperform
265,2005-03-09 15:52:13,1110363733.0,dis,28.19,23.36980306345733,1308.119995,-4.592694320687632,27.96249738414496,0.521,24.79,1.89,2.16,8.38,12.20,4.78,9.39,14.642,57720000000.0,69960000000.0,19.18,1.56,2.27,12.41,2.27,30750000000.0,12.41,2380000000.0,1.137,85.10,13.60,2170000000.0,1.06,13710000000.0,0.921,13.181,4530000000.0,1.233,0.50,66.53,37640000.0,4.889,1.85,36560000.0,outperform
